customer_id,region,age,income,tenure_months,web_user,freq_last_3m,avg_ticket,prior_spend_3m,treatment,propensity,true_hte_ticket_mult,post_spend_3m
33,South,66,39763.59,56,1,4,35.02,128.14,0,0.3155,2.898,140.92
34,South,46,52986.02,56,0,8,34.96,238.28,0,0.2679,2.78,212.94
35,South,62,54310.69,29,1,4,29.79,101.01,0,0.2915,3.043,78.08
36,North,45,65561.95,55,1,5,30.61,190.77,0,0.3344,3.044,213.28
37,North,45,43427.14,24,0,5,31.55,158.08,0,0.2156,2.634,167.17
38,South,52,15000.0,42,1,4,6.02,23.39,0,0.2417,2.65,66.06
39,North,72,45856.91,22,1,8,30.13,216.28,1,0.3718,3.009,332.89
40,East,42,48010.6,67,1,6,44.39,269.0,1,0.3861,2.98,358.86
41,South,51,29486.09,52,1,8,51.72,374.15,1,0.4356,2.845,454.7
42,West,70,47212.36,42,0,5,49.12,316.68,0,0.2584,2.672,339.98
43,East,39,39584.72,33,0,7,36.08,262.11,0,0.253,2.646,253.0
44,South,65,24858.69,37,1,7,20.73,148.17,1,0.3236,2.799,300.62
45,West,48,55072.27,56,0,10,28.43,289.26,0,0.2928,2.801,312.4
46,West,68,36544.12,20,1,9,25.86,278.38,0,0.3728,2.915,314.56
47,South,44,38904.31,59,0,6,18.09,108.19,0,0.2035,2.589,86.02
48,South,53,38061.32,21,0,5,23.7,110.01,0,0.1892,2.581,113.42
49,East,36,63532.18,11,1,10,26.25,268.88,1,0.3825,3.115,370.45
50,North,54,44386.26,53,1,5,18.26,102.15,1,0.3017,2.944,164.76
51,North,36,46186.5,51,0,12,46.19,652.68,0,0.3784,2.712,617.52
52,North,52,38390.46,24,1,8,42.31,349.39,1,0.408,2.934,471.47
53,West,62,51943.0,47,1,9,34.41,320.34,1,0.4129,3.069,395.45
54,East,42,65239.77,52,0,7,39.58,318.32,0,0.268,2.798,281.18
55,East,42,54717.91,56,1,1,38.67,22.81,0,0.2808,3.047,31.37
56,West,36,55303.0,68,1,9,26.2,238.9,1,0.3942,3.103,305.49
57,South,59,54093.45,61,1,5,56.59,258.13,1,0.3939,3.041,397.54
58,East,51,24296.36,32,0,7,25.78,182.01,0,0.2299,2.493,180.6
59,North,47,31858.22,17,1,4,14.98,63.13,1,0.2606,2.819,80.16
60,North,19,41925.19,7,1,9,36.94,394.5,0,0.3974,2.969,402.62
61,East,24,34112.04,41,1,5,41.77,165.48,1,0.3529,2.841,304.33
62,South,18,29031.94,48,1,11,31.38,307.91,1,0.4332,2.84,407.62
63,East,66,16917.36,50,0,6,49.94,259.64,1,0.2763,2.369,348.91
64,West,66,24802.06,1,1,4,37.17,135.14,0,0.298,2.748,112.25
65,East,21,41152.12,50,0,4,25.15,79.93,0,0.1946,2.612,128.53
66,East,20,43958.6,56,1,3,27.87,110.44,0,0.287,2.94,109.82
67,East,62,33104.19,52,0,11,36.78,457.47,0,0.3278,2.581,453.83
68,South,47,46183.88,38,1,0,35.97,5.0,0,0.2474,2.962,5.0
69,North,35,38492.5,2,0,5,49.56,248.38,0,0.2394,2.585,237.99
70,South,53,61358.6,35,1,7,45.02,294.57,1,0.3893,3.136,462.08
71,North,31,42575.61,46,0,8,16.19,132.54,0,0.2343,2.676,146.22
72,South,29,55444.96,41,1,8,32.98,233.42,0,0.3771,3.104,221.61
73,West,38,48048.21,41,1,3,20.09,46.49,1,0.2661,2.98,135.17
74,North,69,23968.93,37,1,9,52.5,431.97,0,0.466,2.79,426.04
75,North,61,43640.13,40,1,2,23.32,56.3,0,0.2612,2.936,133.03
76,South,28,26465.64,23,1,7,37.43,203.62,1,0.3603,2.815,308.31
77,South,50,43378.19,43,0,9,26.63,279.07,0,0.2603,2.684,290.8
78,East,68,33823.04,20,0,3,11.26,36.61,0,0.1496,2.538,45.96
79,East,72,50729.45,35,0,10,19.94,187.41,0,0.2628,2.757,162.43
80,West,61,24864.68,30,0,7,32.01,249.26,1,0.2447,2.499,338.39
81,East,25,45220.53,51,1,14,41.82,603.84,0,0.5327,3.002,525.75
82,South,31,53586.23,64,1,8,41.37,224.86,0,0.4082,3.086,251.66
83,West,30,58613.93,45,0,3,19.03,53.63,0,0.1722,2.786,24.85
84,North,26,33537.48,10,1,3,38.76,109.73,0,0.2968,2.835,92.5
85,North,27,45266.26,48,1,9,46.4,508.09,0,0.453,3.003,453.89
86,North,36,47762.2,24,1,8,41.15,309.43,1,0.4046,3.028,446.57
87,East,49,68206.89,4,1,5,30.66,148.45,1,0.2986,3.018,211.8
88,South,40,22780.05,14,1,5,35.58,146.9,1,0.313,2.728,261.78
89,North,41,31333.46,71,1,4,36.83,145.92,1,0.3355,2.813,236.3
90,East,32,87066.94,31,1,6,51.76,255.2,1,0.3943,2.829,393.48
91,North,26,40903.54,15,0,3,55.42,193.33,0,0.2325,2.609,179.37
92,East,74,16635.09,10,0,14,42.74,560.6,0,0.374,2.416,602.65
93,South,52,36261.75,47,1,8,35.64,234.18,1,0.3872,2.913,284.78
94,South,31,15000.0,55,1,4,34.63,163.97,1,0.3143,2.65,270.04
95,South,64,48613.81,26,1,8,35.87,230.75,1,0.3767,3.036,336.92
96,East,65,57146.77,8,1,11,37.46,427.9,0,0.4314,3.121,386.89
97,South,73,31325.06,26,1,9,28.81,201.41,0,0.3756,2.863,214.4
98,North,27,37939.14,48,0,5,58.62,305.97,1,0.2866,2.579,421.09
99,North,54,58854.81,9,0,6,25.5,177.48,0,0.2082,2.789,150.41
100,West,73,18746.77,20,1,8,50.55,365.06,0,0.4246,2.737,318.16
101,West,63,25176.43,1,0,4,8.63,28.4,0,0.1481,2.452,45.5
102,East,30,41578.27,34,0,3,31.7,78.7,0,0.1896,2.616,69.82
103,South,68,33714.98,13,0,3,30.93,92.03,0,0.1743,2.537,73.26
104,West,42,40592.0,15,1,3,37.74,145.98,0,0.2943,2.906,159.54
105,West,45,26043.75,9,0,8,30.63,284.28,0,0.2438,2.51,309.69
106,East,49,48214.7,52,0,4,51.63,242.79,1,0.2498,2.682,334.35
107,South,61,42761.5,35,1,6,32.09,161.65,0,0.335,2.928,174.05
108,South,24,53237.86,68,0,6,22.65,158.25,0,0.2134,2.732,174.63
109,North,48,48005.99,29,0,3,23.41,80.62,0,0.1773,2.68,130.88
110,West,64,48100.35,16,1,5,29.32,153.33,0,0.3075,2.981,149.08
111,South,49,23305.39,15,1,2,43.69,79.11,0,0.2839,2.733,133.31
112,North,33,52388.87,68,1,5,45.87,262.77,0,0.3786,3.024,276.69
113,South,21,40037.0,42,0,3,20.57,55.44,0,0.1681,2.6,7.36
114,East,49,42501.03,24,1,7,25.4,195.32,0,0.3351,2.975,205.28
115,North,58,60723.97,47,1,11,22.21,230.39,0,0.4206,3.143,233.66
116,West,49,34208.47,40,1,7,31.57,188.35,0,0.3638,2.892,219.96
117,West,73,65267.76,9,0,6,46.54,262.29,1,0.2495,2.747,421.45
118,East,52,66667.13,50,0,6,37.06,287.97,1,0.2465,2.733,351.94
119,South,46,56291.77,9,1,5,41.6,171.63,0,0.3246,3.063,199.56
120,East,21,30290.69,15,1,8,43.96,404.01,1,0.3985,2.853,506.62
121,East,49,15000.0,51,1,10,27.96,314.83,1,0.4121,2.7,360.63
122,East,27,61182.52,32,1,9,19.63,171.77,0,0.3607,3.138,218.87
123,North,59,46670.78,16,0,10,27.95,256.37,0,0.2768,2.717,242.92
124,South,27,33822.04,5,1,8,44.86,291.66,0,0.3847,2.888,283.23
125,North,69,62603.44,43,0,12,42.23,604.78,0,0.3642,2.824,571.52
126,South,35,32076.62,50,0,6,35.95,177.2,0,0.2385,2.521,192.79
127,South,42,38637.67,15,0,8,46.39,215.88,0,0.2763,2.636,254.36
128,North,26,52873.36,30,1,5,36.75,192.23,0,0.3403,3.029,243.05
129,North,30,28295.96,25,1,6,31.02,148.4,0,0.3397,2.783,183.03
130,East,70,43357.79,64,1,4,16.17,63.63,0,0.2761,2.934,24.86
131,North,34,61337.06,57,0,4,50.26,160.5,1,0.2534,2.787,350.45
132,West,47,48166.66,20,0,5,33.85,154.48,0,0.2151,2.682,176.45
133,East,73,63711.4,37,0,9,29.58,269.02,1,0.2707,2.813,381.59
134,South,53,62004.04,66,0,11,33.77,386.58,0,0.3161,2.83,361.31
135,East,20,45116.08,25,1,3,52.98,190.88,0,0.3382,2.951,189.47
136,North,38,15000.0,11,0,5,46.91,234.61,0,0.2403,2.35,262.6
137,West,40,28413.42,22,0,5,30.68,155.87,0,0.2098,2.484,219.52
138,South,33,56450.01,44,1,4,40.64,156.7,0,0.3264,3.065,163.35
139,West,31,21746.23,71,0,8,49.73,452.93,0,0.3151,2.467,392.47
140,North,46,40099.61,22,0,8,39.17,260.19,0,0.2757,2.651,277.21
141,South,39,50077.21,5,0,7,36.45,238.39,0,0.2314,2.751,227.82
142,South,34,67043.56,13,0,2,9.92,19.83,0,0.1315,2.73,5.0
143,West,41,36374.7,30,1,6,49.95,258.96,0,0.3913,2.864,250.19
144,East,37,35347.68,7,1,6,22.66,164.43,0,0.2978,2.853,181.31
145,South,31,44213.31,3,1,6,12.55,78.91,1,0.2639,2.942,155.6
146,South,43,50263.69,47,0,5,13.35,54.47,1,0.1799,2.703,86.41
147,South,71,42686.3,59,1,4,24.74,105.02,0,0.2901,2.927,98.23
148,East,46,60739.03,17,0,9,40.83,439.7,0,0.2865,2.843,415.73
149,South,52,33012.84,38,1,6,48.93,261.87,0,0.383,2.83,307.82
150,North,74,46802.41,41,1,2,39.1,94.17,0,0.2998,2.968,146.47
151,West,52,51678.19,48,1,7,55.83,405.84,0,0.437,3.067,404.93
152,West,30,38996.51,70,0,3,30.16,93.22,1,0.196,2.59,194.69
153,North,40,57595.65,63,1,6,32.22,228.04,0,0.3585,3.076,218.59
154,East,45,47234.38,23,1,5,12.6,64.92,0,0.2686,2.972,99.43
155,North,45,56832.69,70,1,3,28.09,89.2,0,0.2956,3.068,70.79
156,East,26,47911.56,3,1,6,10.5,63.85,0,0.265,2.979,89.56
157,South,24,50646.07,69,0,5,18.9,69.64,0,0.1933,2.706,17.15
158,East,37,35514.12,11,1,9,42.56,406.7,0,0.4102,2.905,339.62
159,East,70,35538.42,9,1,4,14.76,61.25,1,0.2489,2.855,57.42
160,West,58,63365.95,9,1,4,15.94,60.13,0,0.2538,3.066,128.36
161,North,65,54532.66,9,1,9,13.91,77.29,1,0.3352,3.095,132.78
162,West,27,29655.52,33,1,6,44.32,290.71,0,0.3772,2.797,241.19
163,North,41,47712.95,46,1,6,54.67,285.67,0,0.4176,2.977,354.64
164,North,51,15000.0,53,1,4,34.1,113.36,1,0.3254,2.65,190.92
165,East,42,36390.9,2,1,4,46.31,151.3,0,0.3198,2.864,171.22
166,South,41,59415.42,22,1,6,21.03,89.11,1,0.2986,3.094,138.83
167,West,38,43122.82,10,0,8,49.76,425.64,1,0.2893,2.681,562.86
168,West,20,46768.69,11,1,9,26.41,321.71,0,0.367,3.018,310.09
169,South,66,15000.0,53,0,7,43.01,274.89,0,0.2705,2.4,245.4
170,West,71,39116.2,46,0,13,34.67,506.26,0,0.3588,2.641,442.38
171,South,22,50074.08,15,0,6,11.98,70.9,0,0.1772,2.701,58.2
172,East,41,51979.35,22,1,2,24.38,50.77,0,0.2491,3.02,31.64
173,South,47,59435.34,66,0,4,37.05,146.73,0,0.2155,2.794,96.04
174,West,62,41846.13,41,0,11,12.8,157.37,1,0.2666,2.668,221.16
175,North,74,42515.16,17,0,7,38.56,221.0,1,0.2554,2.675,360.94
176,North,41,25018.24,67,0,5,18.0,91.37,0,0.2009,2.45,82.86
177,South,60,41932.18,15,1,6,41.49,291.3,0,0.3472,2.919,218.94
178,West,71,26076.37,21,0,3,18.67,61.91,0,0.1634,2.461,84.31
179,West,65,17281.95,50,0,6,40.32,253.75,1,0.2561,2.373,350.07
180,East,34,28722.31,37,1,8,44.8,363.64,0,0.4162,2.837,319.31
181,West,64,67630.27,5,1,11,32.98,343.18,0,0.4182,3.074,331.9
182,West,41,40941.58,58,0,6,34.04,193.42,1,0.2438,2.609,200.15
183,East,18,48298.16,17,1,5,52.83,202.59,1,0.3685,2.983,359.73
184,South,61,37297.56,50,0,3,25.6,82.6,0,0.1787,2.573,85.53
185,West,65,18141.73,24,1,8,28.59,275.54,1,0.3647,2.731,388.1
186,East,37,59041.7,54,0,8,42.69,356.57,0,0.2922,2.84,350.54
187,South,43,15000.0,64,1,8,40.07,321.34,1,0.4044,2.7,420.19
188,North,38,36678.11,55,0,7,32.09,244.79,0,0.2572,2.617,302.75
189,East,24,44180.78,66,1,6,20.42,83.59,0,0.3204,2.942,69.76
190,South,74,48457.34,39,0,9,46.68,388.19,1,0.3076,2.735,454.73
191,West,19,34102.96,5,1,6,20.14,119.51,0,0.2923,2.841,153.07
192,North,49,17430.58,39,1,9,62.34,417.41,1,0.4966,2.724,604.53
193,North,18,32983.6,33,1,13,20.65,274.96,0,0.4483,2.88,306.26
194,West,57,33768.63,52,1,9,21.74,141.32,0,0.3783,2.888,142.36
195,North,69,33403.6,18,0,3,39.1,129.46,0,0.201,2.534,117.23
196,North,54,59550.88,50,1,3,41.59,129.0,1,0.3267,3.096,229.16
197,East,52,26795.96,32,1,4,23.31,90.58,0,0.2833,2.768,72.96
198,West,65,49514.69,48,0,5,55.31,308.13,0,0.275,2.695,253.79
199,North,73,47374.46,30,1,5,38.96,199.08,0,0.3462,2.974,189.77
200,South,67,59406.83,28,1,9,32.03,308.78,0,0.386,3.144,348.95
201,West,31,43003.02,16,0,8,39.63,330.54,0,0.2693,2.68,302.71
202,West,50,56866.96,59,1,7,49.53,301.97,0,0.4218,3.119,297.84
203,East,64,42416.7,5,0,4,54.31,268.35,0,0.2322,2.624,278.64
204,North,34,51515.89,17,0,8,37.31,354.3,0,0.268,2.765,332.56
205,North,56,22455.88,31,1,8,19.71,167.83,0,0.3489,2.775,164.15
206,North,19,15000.0,12,1,5,19.9,101.73,0,0.2846,2.65,150.44
207,North,68,50663.2,66,0,5,18.02,100.25,0,0.2009,2.707,117.95
208,East,53,51467.75,25,1,7,27.29,227.14,1,0.3408,3.065,342.72
209,North,60,52132.53,18,0,5,35.45,227.9,1,0.2203,2.721,396.25
210,East,65,37126.01,19,1,7,37.57,241.61,0,0.3647,2.921,213.33
211,East,30,67345.83,14,1,7,48.52,392.92,0,0.3916,3.077,370.31
212,East,43,38101.83,48,0,4,10.12,39.95,0,0.1674,2.581,47.72
213,North,66,51313.19,35,1,8,34.87,211.63,0,0.3936,3.063,201.23
214,West,27,53919.54,17,1,6,40.53,273.75,1,0.3557,3.039,376.47
215,East,64,70781.1,63,1,4,5.0,24.4,0,0.25,2.992,81.31
216,East,34,40244.56,47,0,10,40.44,463.45,1,0.3183,2.652,550.7
217,North,50,35202.11,29,0,7,67.76,462.3,0,0.3357,2.602,517.24
218,North,47,22527.82,37,1,6,44.28,281.13,0,0.3835,2.725,264.75
219,West,57,68285.51,47,1,9,38.69,384.76,1,0.4254,3.067,533.49
220,South,65,51321.16,11,0,7,31.72,241.1,1,0.2256,2.763,376.97
221,South,37,51795.92,58,1,3,37.79,134.3,0,0.3059,3.018,134.06
222,South,27,91750.56,19,1,9,53.45,549.05,1,0.4417,2.832,680.12
223,East,42,49875.67,3,1,3,30.84,84.48,1,0.2658,2.999,212.39
224,West,52,25465.18,38,1,1,49.32,49.52,0,0.3036,2.755,45.34
225,South,60,42061.45,63,1,10,40.57,374.98,1,0.4448,2.971,530.3
226,West,60,30378.26,53,0,9,54.52,502.54,0,0.3425,2.554,452.51
227,North,37,39061.97,22,0,9,48.07,311.34,1,0.3145,2.641,417.71
228,East,71,38961.16,29,1,2,37.27,96.11,0,0.2832,2.89,89.41
229,East,22,36194.63,43,1,9,36.5,290.09,0,0.4144,2.912,289.62
230,North,24,24100.76,17,1,11,31.24,317.2,0,0.4286,2.791,321.41
231,North,19,68887.52,59,1,7,46.72,331.12,1,0.418,3.061,445.72
232,South,70,49482.72,21,0,6,27.92,132.89,0,0.2101,2.695,134.91
233,West,28,41617.92,16,1,6,36.36,207.21,0,0.3435,2.916,172.67
234,East,52,56364.57,7,0,4,32.68,134.02,0,0.1904,2.764,174.27
235,West,64,52066.01,50,1,1,18.91,23.58,0,0.2362,3.021,57.91
236,West,61,49135.36,2,1,5,37.64,192.24,0,0.3172,2.991,182.82
237,South,72,55274.97,58,0,12,16.7,188.16,0,0.2886,2.803,186.38
238,West,21,47009.02,70,1,5,29.62,123.1,0,0.33,2.97,108.96
239,North,41,55053.32,8,1,9,43.01,511.2,0,0.4159,3.101,458.2
240,North,46,56296.68,7,1,6,37.03,224.72,1,0.3418,3.063,306.61
241,West,57,47440.78,67,0,9,36.84,335.62,0,0.2989,2.724,297.49
242,West,53,41694.08,9,1,10,24.62,195.58,1,0.3789,2.967,300.83
243,North,49,67955.97,29,1,7,47.59,359.32,1,0.4074,3.07,525.62
244,East,35,37831.48,62,1,6,24.37,133.3,1,0.3303,2.878,168.08
245,East,24,50869.7,10,1,3,43.48,159.22,0,0.3023,3.009,181.81
246,West,42,51208.63,48,1,5,50.59,270.55,1,0.3831,3.012,379.61
247,East,32,35856.63,28,1,8,16.63,135.56,1,0.3321,2.909,213.32
248,South,49,32882.66,31,0,2,30.12,48.29,0,0.1695,2.529,60.8
249,South,63,39692.22,67,0,7,29.02,200.14,1,0.2408,2.647,260.62
250,South,49,37616.75,47,1,2,38.27,74.09,0,0.2875,2.876,95.45
251,East,51,23128.04,23,1,9,23.68,217.04,0,0.3661,2.781,257.84
252,West,20,35227.57,67,1,5,21.02,74.02,0,0.3074,2.852,27.8
253,South,54,48993.34,42,1,7,34.36,207.69,0,0.3628,3.04,240.37
254,North,43,63989.15,8,0,2,28.27,52.33,0,0.1643,2.76,42.68
255,North,25,53315.87,28,1,5,33.25,178.72,0,0.3297,3.033,225.03
256,East,30,15000.0,18,0,5,45.71,162.38,0,0.2368,2.35,191.69
257,West,62,54619.56,46,1,3,15.59,56.47,0,0.2574,3.046,34.3
258,North,70,36627.72,62,0,4,33.63,159.6,1,0.2183,2.566,235.0
259,North,46,51796.2,3,0,3,27.91,71.24,0,0.172,2.718,98.87
260,East,73,44787.97,56,0,2,35.28,96.7,0,0.1898,2.648,133.58
261,North,28,42109.69,66,0,7,27.96,202.69,0,0.2495,2.671,219.53
262,West,35,43466.46,71,0,4,20.84,81.99,0,0.191,2.635,102.7
263,South,71,44663.64,47,1,7,39.72,302.79,1,0.3798,2.997,392.74
264,North,27,65166.07,23,1,5,68.26,362.69,0,0.4246,3.048,351.44
265,West,55,44705.1,11,1,5,33.79,171.94,0,0.3151,2.947,172.26
266,North,30,61283.04,68,0,9,26.29,198.09,0,0.2767,2.837,157.64
267,South,36,59098.59,30,1,6,26.25,147.17,0,0.3169,3.091,159.75
268,North,45,55005.68,25,0,7,46.22,340.85,0,0.2784,2.8,320.54
269,North,38,18200.72,53,1,8,24.48,220.31,1,0.3718,2.732,330.21
270,North,67,61749.49,51,0,7,50.6,430.65,1,0.3008,2.833,591.96
271,North,73,38131.48,58,1,6,15.36,85.83,1,0.3125,2.881,149.97
272,North,46,55735.91,63,0,9,37.31,339.76,0,0.3034,2.807,364.71
273,North,47,30412.01,63,1,7,42.96,270.94,1,0.4078,2.854,409.55
274,East,21,27223.89,13,1,7,44.15,359.75,0,0.3783,2.822,343.79
275,East,31,74645.83,13,0,5,43.31,206.42,0,0.2285,2.654,162.73
276,South,20,30645.25,15,1,6,38.19,208.95,1,0.3382,2.806,307.87
277,South,66,62191.6,45,1,8,48.84,394.38,1,0.4246,3.128,519.32
278,East,30,46776.3,42,0,3,23.11,51.93,0,0.1768,2.668,59.78
279,West,37,38698.2,61,0,6,27.27,176.9,0,0.2296,2.587,171.69
280,West,66,44327.57,60,1,5,30.16,143.81,0,0.3303,2.943,182.43
281,North,58,25483.58,58,1,6,52.8,448.33,0,0.416,2.755,464.89
282,North,53,44793.68,6,1,8,40.59,294.64,1,0.3878,2.998,397.74
283,North,20,28758.9,50,1,4,43.18,165.81,0,0.3489,2.788,130.66
284,North,50,39068.34,61,0,7,32.85,265.04,0,0.26,2.641,233.47
285,East,49,58879.49,70,1,4,44.8,200.23,0,0.3503,3.089,236.9
286,South,36,48812.86,25,1,3,16.38,56.76,0,0.2422,2.988,93.93
287,North,60,22767.44,56,1,6,30.09,172.98,0,0.3512,2.728,144.95
288,South,70,57772.32,29,0,6,32.39,160.91,0,0.2232,2.778,119.83
289,East,32,44893.5,12,1,1,29.31,41.04,0,0.2389,2.949,34.48
290,North,36,36867.22,25,1,7,31.14,234.9,0,0.3582,2.919,288.65
291,West,36,56200.14,18,0,5,41.56,214.85,0,0.23,2.762,225.44
292,North,65,42491.9,65,0,6,37.86,254.62,0,0.2567,2.625,246.27
293,West,22,27515.08,13,1,6,49.32,238.09,0,0.3769,2.775,230.8
294,North,69,72717.15,10,0,3,9.96,27.85,0,0.147,2.673,5.0
295,West,62,44740.69,42,1,7,52.86,312.12,1,0.4257,2.997,453.52
296,West,45,43779.22,41,1,4,27.2,111.54,1,0.2996,2.938,235.56
297,West,51,38923.42,40,1,5,50.79,201.46,0,0.3803,2.889,190.23
298,West,68,62699.49,11,1,10,29.99,330.2,0,0.396,3.123,313.83
299,West,61,37126.82,36,0,2,39.43,92.87,0,0.1942,2.571,111.41
300,East,33,21825.3,66,1,10,22.08,258.76,0,0.3984,2.768,221.18
301,West,20,34819.84,7,0,3,20.41,65.26,0,0.1594,2.548,84.5
302,North,55,64901.62,57,1,9,41.97,388.65,0,0.4428,3.101,351.44
303,East,26,57481.98,9,1,3,5.0,14.06,0,0.2139,3.075,12.61
304,East,23,41174.77,17,1,5,20.42,108.96,1,0.2834,2.912,163.67
305,West,73,65598.83,64,1,6,44.2,260.83,0,0.388,3.044,245.39
306,South,45,56219.13,22,0,4,30.03,86.43,1,0.1891,2.762,180.04
307,South,55,41001.16,38,0,12,24.41,265.86,0,0.3013,2.66,259.73
308,East,30,42511.35,28,0,9,53.27,536.44,0,0.3254,2.675,500.62
309,South,23,49939.77,44,0,7,57.49,334.49,0,0.3032,2.749,324.39
310,North,21,32521.7,29,1,4,35.01,115.96,0,0.3174,2.825,97.78
311,South,38,45067.58,32,1,9,50.28,439.01,1,0.4416,3.001,502.65
312,South,18,49627.7,59,1,10,53.2,358.95,0,0.4817,3.046,344.39
313,North,41,19695.51,40,0,6,34.8,231.68,0,0.2438,2.397,210.91
314,South,36,42160.2,41,1,5,28.85,158.14,1,0.3119,2.922,256.88
315,South,48,40454.16,58,1,8,36.06,329.51,0,0.3918,2.955,299.99
316,South,51,60421.02,31,0,7,17.55,126.9,0,0.2075,2.846,75.29
317,South,35,17332.55,59,1,7,41.82,255.26,1,0.3894,2.723,359.09
318,East,43,39277.41,52,1,11,31.05,278.5,0,0.441,2.943,306.04
319,South,22,37773.68,63,1,4,35.68,154.51,1,0.3185,2.878,266.84
320,West,35,59401.06,33,1,5,35.5,196.57,1,0.3346,3.094,263.18
321,West,73,44346.8,40,1,12,24.83,248.04,1,0.4404,2.993,304.21
322,South,74,71941.42,10,0,2,34.57,56.17,0,0.1676,2.681,51.78
323,South,45,54933.2,8,0,7,18.69,130.44,1,0.1976,2.799,182.05
324,East,71,38846.66,8,1,3,29.21,89.43,0,0.266,2.888,81.31
325,West,46,48594.88,45,0,4,21.64,98.7,0,0.1887,2.686,53.85
326,East,25,39688.97,24,0,6,24.48,161.48,0,0.2098,2.597,159.87
327,West,67,57890.94,21,0,4,7.91,31.26,1,0.1568,2.779,110.66
328,East,41,25017.03,43,0,3,29.85,103.46,0,0.1891,2.45,90.79
329,East,52,32644.56,29,0,11,40.83,425.55,0,0.3283,2.576,370.57
330,South,54,51835.35,10,1,5,37.13,177.07,1,0.3138,3.018,332.1
331,East,35,63386.35,40,1,9,48.01,487.04,0,0.4468,3.116,519.07
332,North,59,15000.0,40,1,8,23.57,215.62,0,0.3643,2.7,206.39
333,East,46,65617.07,10,1,8,29.26,268.58,1,0.3528,3.094,360.8
334,West,38,42897.97,20,0,8,46.01,358.14,0,0.2873,2.679,351.24
335,North,34,16741.88,17,0,4,33.96,137.3,0,0.2034,2.367,171.32
336,East,60,15000.0,50,1,9,37.22,291.45,1,0.4193,2.7,352.64
337,North,32,22059.21,18,0,5,60.37,342.6,0,0.276,2.421,331.1
338,East,25,44704.43,3,0,5,31.95,145.58,1,0.199,2.647,201.28
339,North,68,44011.53,19,1,9,29.19,184.03,0,0.3857,2.99,202.1
340,West,36,54498.01,34,0,6,23.08,129.34,0,0.2135,2.745,180.8
341,North,54,36757.69,55,1,5,31.53,137.41,0,0.3368,2.868,156.19
342,West,58,28379.39,4,1,5,47.26,140.35,1,0.3446,2.784,253.16
343,West,65,38803.7,63,1,6,41.88,229.68,1,0.3813,2.888,379.02
344,East,53,45504.15,24,0,3,52.19,174.95,0,0.2255,2.655,158.45
345,West,58,48461.59,25,1,6,39.33,250.62,0,0.3582,2.985,260.79
346,West,65,33162.53,2,1,6,8.11,51.67,0,0.2609,2.832,42.32
347,West,71,58521.7,20,0,7,42.55,361.54,0,0.2631,2.835,308.1
